銘柄名,資産クラス,保有数量,取得単価,現在値,評価額,損益,損益率
トヨタ自動車,国内株式,100,2300,2850,285000,55000,23.9
ソニーグループ,国内株式,50,11000,13200,660000,110000,20.0
eMAXIS Slim 全世界株式,投資信託,300,15000,18500,5550000,1050000,23.3
eMAXIS Slim 先進国債券,投資信託,200,10500,10200,2040000,-60000,-2.9
米国国債(10年),債券,10,98000,99500,995000,15000,1.5
ビットコイン,暗号資産,0.05,6500000,9800000,490000,165000,50.8
普通預金,現金,1,2000000,2000000,2000000,0,0.0
定期預金,現金,1,1000000,1000000,1000000,0,0.0
三菱UFJフィナンシャル・グループ,国内株式,200,1200,1550,310000,70000,29.2
J-REIT指数連動型ETF,投資信託,20,1800,1650,33000,-3000,-8.3
